analysis_block,endpoint,feature_set,feature,raw_feature,coef,abs_coef,feature_scope
secondary,Binarized_response,clinical_plus_bio_sbp,num__age,age,0.4292929172515869,0.4292929172515869,clinical
secondary,Binarized_response,clinical_plus_bio_sbp,num__bio__patient_cd16_score_mean,bio__patient_cd16_score_mean,1.4834553003311157,1.4834553003311157,immune
secondary,Binarized_response,clinical_plus_bio_sbp,num__bio__patient_naive_score_mean,bio__patient_naive_score_mean,0.46163129806518555,0.46163129806518555,immune
secondary,Binarized_response,clinical_plus_bio_sbp,num__bio__LM_SBP_2part_ilr,bio__LM_SBP_2part_ilr,0.3903225064277649,0.3903225064277649,immune
secondary,Binarized_response,clinical_plus_bio_sbp,num__bio__patient_cd14_score_mean,bio__patient_cd14_score_mean,0.3481985926628113,0.3481985926628113,immune
secondary,Binarized_response,clinical_plus_bio_sbp,num__bio__CD14_CD16_SBP_2part_ilr,bio__CD14_CD16_SBP_2part_ilr,0.18046371638774872,0.18046371638774872,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,cat__egfr_status_Wild-Type,egfr_status,9.81574535369873,9.81574535369873,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,cat__sex_M,sex,-8.454140663146973,8.454140663146973,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,cat__io_line_≥2nd line,io_line,-6.720486640930176,6.720486640930176,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,cat__previous_target_Yes,previous_target,6.010712623596191,6.010712623596191,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,cat__smoking_Never,smoking,-4.664126873016357,4.664126873016357,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,cat__ecog_2,ecog,-3.061262845993042,3.061262845993042,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,cat__histology_others,histology,2.569237470626831,2.569237470626831,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,cat__histology_LUSC,histology,-2.4972827434539795,2.4972827434539795,clinical
