endpoint_name,endpoint_type,feature_name,feature_set,n_patients,status,roc_auc_mean,roc_auc_sd,auprc_mean,auprc_sd,brier_mean,brier_sd,baseline_roc_auc_mean,baseline_auprc_mean,baseline_brier_mean,delta_roc_auc_mean,delta_auprc_mean,delta_brier_mean,ranking_metric,full_data_coef,full_data_coef_sign,best_alpha,best_l1_ratio,full_inner_score
Binarized_response,binary,CD4T__curated_gene_cd4_cytotoxic__eigengene,clinical_plus__CD4T__curated_gene_cd4_cytotoxic__eigengene,65,ok,0.6500476190476191,0.15757460493409187,0.6342201243201243,0.1428637235739915,0.27302978003733924,0.09893220760654904,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.03667857142857145,0.015941162541162512,0.013192375087747288,0.03667857142857145,1.1870357990264893,1.0,0.001,1.0,0.7140873015873016
Binarized_response,binary,CD4T__curated_gene_cd4_dysfunction_exhaustion__eigengene,clinical_plus__CD4T__curated_gene_cd4_dysfunction_exhaustion__eigengene,65,ok,0.6029285714285715,0.1549173100284713,0.5998148814148814,0.1427906965125902,0.2717555602817663,0.07833478110166436,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.010440476190476167,-0.018464080364080426,0.01191815533217433,-0.010440476190476167,-0.14200076460838318,-1.0,0.001,0.5,0.6781746031746031
Binarized_response,binary,CD4T__curated_gene_cd4_ifn_response__eigengene,clinical_plus__CD4T__curated_gene_cd4_ifn_response__eigengene,65,ok,0.6591904761904763,0.14744437767928714,0.661124418174418,0.1428074421053437,0.26992810335180983,0.06359033515301363,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.04582142857142868,0.04284545639545623,0.01009069840221788,0.04582142857142868,2.3223021030426025,1.0,0.001,1.0,0.7470238095238095
Binarized_response,binary,CD4T__curated_gene_cd4_naive_central_memory__eigengene,clinical_plus__CD4T__curated_gene_cd4_naive_central_memory__eigengene,65,ok,0.605095238095238,0.1602156429527062,0.61308071003071,0.1447596608072894,0.27182288699848195,0.0700989994189348,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.008273809523809628,-0.0051982517482518364,0.011985482048889995,-0.008273809523809628,-0.27981144189834595,-1.0,0.003,0.25,0.6779761904761904
Binarized_response,binary,CD4T__curated_gene_cd4_tcr_activation_immediate__eigengene,clinical_plus__CD4T__curated_gene_cd4_tcr_activation_immediate__eigengene,65,ok,0.6050238095238095,0.15505024533476278,0.6090302419802418,0.14485556776955408,0.2727145878972105,0.08236997829202992,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.008345238095238128,-0.009248719798719995,0.012877182947618526,-0.008345238095238128,0.11093535274267197,1.0,0.003,1.0,0.6603174603174603
Binarized_response,binary,CD4T__curated_gene_cd4_tfh_tph_bhelp__eigengene,clinical_plus__CD4T__curated_gene_cd4_tfh_tph_bhelp__eigengene,65,ok,0.6120119047619048,0.1530199155329941,0.6072637714137713,0.141487231949764,0.271150763392754,0.0816777177204925,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.0013571428571428346,-0.011015190365190497,0.011313358443162058,-0.0013571428571428346,-0.41689422726631165,-1.0,0.001,1.0,0.6589285714285714
Binarized_response,binary,CD4T__curated_gene_cd4_th17_like__eigengene,clinical_plus__CD4T__curated_gene_cd4_th17_like__eigengene,65,ok,0.6104761904761905,0.17674855145642773,0.6159777574277574,0.15030798677650364,0.28160118269161205,0.0906573516909833,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.0028928571428571415,-0.0023012043512044,0.021763777742020096,-0.0028928571428571415,-0.3146829307079315,-1.0,0.001,1.0,0.6527777777777778
Binarized_response,binary,CD4T__curated_gene_cd4_th1_helper__eigengene,clinical_plus__CD4T__curated_gene_cd4_th1_helper__eigengene,65,ok,0.5936904761904762,0.1794235016197709,0.6112663743663744,0.16256770084090916,0.27256182490829917,0.08138248709515956,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.019678571428571434,-0.007012587412587368,0.012724419958707212,-0.019678571428571434,0.3631826937198639,1.0,0.01,1.0,0.6416666666666666
Binarized_response,binary,CD4T__curated_gene_cd4_treg_suppressive__eigengene,clinical_plus__CD4T__curated_gene_cd4_treg_suppressive__eigengene,65,ok,0.6108809523809524,0.15406018682126846,0.6118228364228364,0.1413190116118598,0.271745767600707,0.07409549192159542,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.0024880952380952337,-0.006456125356125386,0.011908362651115056,-0.0024880952380952337,-0.13285496830940247,-1.0,0.003,0.25,0.7250000000000001
Binarized_response,binary,CD4T__curated_gene_gobp_alpha_beta_t_cell_activation__eigengene,clinical_plus__CD4T__curated_gene_gobp_alpha_beta_t_cell_activation__eigengene,65,ok,0.5838571428571429,0.1658165724749615,0.5998871332371332,0.14436058848268618,0.27863577809160334,0.07853758432129196,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.029511904761904795,-0.018391828541828636,0.018798373142011382,-0.029511904761904795,-0.18683046102523804,-1.0,0.001,1.0,0.5684523809523809
